ID1;ID2_Opcional;FullName;Phone;Email;Description
1790001234001;;Importadora Andina S.A.;022555111;ventas@andina.com;Proveedor principal de repuestos originales
1790012345001;;Frenos y Mas Ltda.;022666222;contacto@frenosymas.com;Especialistas en sistemas de frenos
1790023456001;INT-001;AutoPartes Global;022777333;pedidos@autopartes.com;Importador directo de filtros y aceites
1790034567001;;Llantas del Ecuador;022888444;info@llantas.ec;Distribuidor de neumáticos y aros
1790045678001;;Baterias Duramax;022999555;soporte@duramax.com;Baterías de alto rendimiento
1790056789001;;Lubricantes Express;023111222;ventas@lubricantes.com;Aceites y lubricantes al por mayor
1790067890001;;Vidrios Seguros;023222333;atencion@vidrios.com;Parabrisas y espejos retrovisores
1790078901001;;Accesorios Tuning;023333444;tuning@accesorios.com;Luces LED y accesorios estéticos
1790089012001;EXT-999;Motores del Sur;023444555;repuestos@motores.com;Partes internas de motor
1790090123001;;Electrica Automotriz;023555666;info@electrica.com;Sensores, cables y bujías
